Title,Genre,Year,Runtime,Rating,desc,Votes,Director,Stars
The Glass Alibi,"Crime, Drama, Film-Noir            ",1946,68 min,6.2,"Joe Eykner (Douglas Fowley), an opportunistic newspaper reporter, persuades wealthy, Santa Monica widow Linda Vale (Maris Wrixon), to marry him. He and his girlfriend, Belle Martin (Anne ...                See full summary »","1,327",Joseph H. Lewis,Steven Geray
Her Kind of Man,"Crime, Drama, Music            ",1946,78 min,6,A nightclub singer is caught between a big-time gangster and a tough Broadway columnist.,"3,115",Joseph L. Mankiewicz,John Hodiak
House of Horrors,"Adventure, Crime, Horror            ",1946,65 min,6.1,"An unsuccessful sculptor saves a madman named ""The Creeper"" from drowning. Seeing an opportunity for revenge, he tricks the psycho into murdering his critics.","10,345",Robert Siodmak,Dorothy McGuire
Humoresque,"Drama, Music, Romance            ",1946,125 min,7.3,"A classical musician from the slums is sidetracked by his love for a wealthy, neurotic socialite.","3,781",Curtis Bernhardt,Bette Davis
Inside Job,"Crime, Drama, Film-Noir            ",1946,65 min,5.6,A pair of married ex-convicts trying to go straight get jobs at a department store. A gangster who knows about their past threatens to expose it unless they agree to help him rob the department store.,"10,128",Lewis Milestone,Barbara Stanwyck
The Killers,"Crime, Drama, Film-Noir            ",1946,103 min,7.7,"Hit men kill an unresisting victim, and investigator Reardon uncovers his past involvement with beautiful, deadly Kitty Collins.",132,Ray McCarey,Signe Hasso
The Man I Love,"Drama, Film-Noir, Music            ",1946,96 min,6.7,"A homesick, no-nonsense, lounge singer decides to leave New York City to spend some time visiting her two sisters and brother on the West Coast, and eventually falling in love with down-and-out ex-jazz pianist.","2,169",Edgar G. Ulmer,|
The Mask of Diijon,"Drama, Film-Noir, Mystery            ",1946,73 min,5.6,A stage illusionist's comeback attempt results in his humiliation. He plots to revenge himself by hypnotizing people into committing murders for him.,"26,920",Orson Welles,Orson Welles
Mysterious Intruder,"Crime, Film-Noir, Mystery            ",1946,61 min,6.4,"Amid murders and kidnappings, a private detective is hired to find a missing girl whose family inheritance contains two rare collectible song recordings worth a lot of money.",260,William H. Pine,Johnny Weissmuller
Night Editor,"Crime, Drama, Film-Noir            ",1946,68 min,6.7,A detective's dilemma. A murder investigation is compromised by the detective's compromised position in love.,"2,315",Jean Negulesco,Peter Lorre
Nobody Lives Forever,"Crime, Drama, Film-Noir            ",1946,100 min,7,"Ex-GI Nick Blake gets involved in a scheme to fleece a rich, young widow, but finds himself falling for her, much to the displeasure of his racketeer cohorts.",597,Jules Dassin,Lucille Ball
Nocturne,"Crime, Drama, Film-Noir            ",1946,87 min,6.5,"In 1940s Los Angeles, when womanizing composer Keith Vincent is found dead, the inquest concludes it was a suicide but police detective Joe Warne isn't so sure.","3,112",Vincente Minnelli,Katharine Hepburn
Notorious,"Drama, Film-Noir, Romance            ",1946,102 min,7.9,The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?,"2,358",Don Siegel,Sydney Greenstreet
The Postman Always Rings Twice,"Crime, Drama, Film-Noir            ",1946,113 min,7.4,"A married woman and a drifter fall in love, then plot to murder her husband.","1,193",Léonide Moguy,George Raft
San Quentin,"Drama, Romance            ",1946,66 min,5.8,"Television viewer seeing this for the first time: Gee whiz, it's in black-and-white and was made in the 40's and is about crime and...Eureka!...another ""noir"" film is discovered. How about ...                See full summary »",421,Arch Oboler,John Hodiak
The Secret of the Whistler,"Drama, Film-Noir            ",1946,65 min,6.4,"An artist married to a wealthy but ill woman begins an affair with one of his models, who is after him solely for his money. His wife discovers the affair and threatens to cut him out of ...                See full summary »",429,Eugene Forde,Jean Rogers
Shadow of a Woman,"Drama, Film-Noir, Thriller            ",1946,78 min,6,A young bride's marital bliss is replaced by shades of suspicion when she suspects that her husband is trying to starve his young son to death in order to claim an inheritance the boy is entitled to.,58,William C. Thomas,Phillip Reed
Shock,"Film-Noir, Thriller            ",1946,70 min,6.2,A psychologically distraught woman is committed to a private sanitarium by the man she witnessed commit a murder.,251,Lesley Selander,William Marshall
So Dark the Night,"Crime, Drama, Film-Noir            ",1946,71 min,6.3,"Paris police detective Cassin has a well needed vacation at a rural inn, where the owners' adult daughter shows interest in him but she has a jealous boyfriend. Will Cassin need his skills?",173,Robert Gordon,Chester Morris
Somewhere in the Night,"Crime, Drama, Film-Noir            ",1946,110 min,7.1,"George Taylor returns from WWII with amnesia. Back home in Los Angeles, while trying to track down his old identity, he stumbles onto a 3-year old murder case and a hunt for a missing $2 million.","5,026",Robert Rossen,John Garfield
Specter of the Rose,"Drama, Film-Noir, Music            ",1946,90 min,5.7,"Ballet dancer Andre Sanine (Ivan Kirov) may have murdered his first wife. A detective thinks so, and he's not the only one. Andre is charming, if a little peculiar. Haidi (Viola Essen), a ...                See full summary »","4,750",Elia Kazan,Dana Andrews
The Spiral Staircase,"Drama, Horror, Mystery            ",1946,83 min,7.3,"In 1916, a shadowy serial killer is targeting women with ""afflictions""; one night during a thunderstorm, the mute Helen feels menaced.","5,518",Robert Wise,Claire Trevor
A Stolen Life,Drama            ,1946,109 min,7.2,"When a woman's twin sister is drowned, she assumes her identity in order to be close to the man she feels her sister took from her years before.","1,156",John Brahm,George Montgomery
Strange Impersonation,"Drama, Film-Noir, Thriller            ",1946,68 min,6.3,"A research scientist conducting experiments on a new anesthetic finds herself being blackmailed by a woman she accidentally knocked down with her car; the woman wasn't hurt, but a scheming ...                See full summary »","10,623",Jules Dassin,Burt Lancaster
The Strange Love of Martha Ivers,"Drama, Film-Noir, Romance            ",1946,116 min,7.4,"A man is reunited with his childhood friend and her husband, who believe he knows the truth about the death of her rich aunt years earlier.",600,John Farrow,Alan Ladd
Strange Triangle,"Adventure, Crime, Drama            ",1946,65 min,6.3,"A bank district supervisor relates how he has been accused of a murder involving the bank's vice-president's brother and his mysterious wife, who has long police record, and to which he intends to plead guilty.","8,866",Edward Dmytryk,Robert Young
The Strange Woman,"Drama, Romance, Thriller            ",1946,100 min,6.6,In 1820s New England beautiful but poor and manipulative Jenny Hager marries rich old man Isaiah Poster but also seduces his son and his company foreman.,"1,591",Peter Godfrey,Errol Flynn
The Stranger,"Crime, Drama, Film-Noir            ",1946,95 min,7.3,An investigator from the War Crimes Commission travels to Connecticut to find an infamous Nazi.,"2,703",Otto Preminger,Joan Crawford
Suspense,"Drama, Film-Noir, Romance            ",1946,101 min,6.4,"The proprietor of an ice-skating revue promotes a peanut-vendor at the show to a management position based on suggestions he made to improve the act of the show's star, who also happens to ...                See full summary »","20,351",Delmer Daves,Humphrey Bogart
Swamp Fire,"Action, Adventure, Drama            ",1946,69 min,5.5,"In the delta county of Louisiana, Johnny Duval is haunted by recurring nightmares of his wartime experiences.","8,015",John Cromwell,Humphrey Bogart
Temptation,"Drama, Film-Noir, Thriller            ",1946,98 min,6.4,"Ruby, a beautiful divorcee with a shady past, calculatingly marries rich Egyptologist Nigel Armine. He installs her at his Cairo estate while he continues his excavation work, but Ruby is ...                See full summary »",786,Jean Negulesco,Ida Lupino
Three Strangers,"Crime, Drama, Film-Noir            ",1946,92 min,7,"Three strangers, each with a serious problem in their lives, share a sweepstakes ticket which they wished upon together before a Chinese idol.","1,783",Lewis Allen,John Hodiak
Two Smart People,"Crime, Drama, Romance            ",1946,93 min,6.4,"A fugitive negotiates a 5-year sentence for the theft of half-million dollar worth of bonds but takes a short trip before surrendering, while suspecting that a con-woman, a cop and a former crime-partner are after his hidden bonds.","2,279",Anthony Mann,Steve Brodie
Undercurrent,"Drama, Film-Noir, Thriller            ",1946,116 min,6.5,Middle-aged bride Ann Hamilton soon begins to suspect that her charming husband is really a psychotic who plans to murder her.,900,Felix E. Feist,Lawrence Tierney
The Verdict,"Crime, Drama, Film-Noir            ",1946,86 min,7.2,"After an innocent man is executed in a case for which he was responsible, a Scotland Yard superintendent finds himself investigating the murder of his key witness.","3,576",George Cukor,Ronald Colman
Whistle Stop,"Crime, Drama, Film-Noir            ",1946,85 min,5.5,"When beautiful Mary returns home to her ""whistle stop"" home town, long-standing feelings of animosity between two of her old boyfriends leads to robbery and murder.","4,787",Joseph L. Mankiewicz,Gene Tierney
The Arnelo Affair,"Crime, Drama, Film-Noir            ",1947,86 min,5.8,A lawyer's wife starts an affair with a mobster but is confronted by his other flame who ends-up murdered and the adulterous wife is set-up to take the blame for the killing.,"1,622",Maxwell Shane,Paul Kelly
Backlash,"Crime, Film-Noir, Mystery            ",1947,66 min,6,Detectives try to solve the case of a murdered Los Angeles defense attorney.,"1,945",Richard Wallace,Glenn Ford
Big Town,"Crime, Drama            ",1946,60 min,5.2,"A newspaper editor goes on an anti-crime crusade, but gets carried away.",975,Gordon Wiles,Barry Sullivan
Blackmail,"Action, Crime, Film-Noir            ",1947,67 min,5.6,"A private detective is approached by a wealthy entertainment executive to stop a blackmail scheme against him. Although he hasn't decided to take the job, the blackmailers believe that he already has, and he is marked for murder.",617,John Reinhardt,Bonita Granville
Blind Spot,"Crime, Drama, Film-Noir            ",1947,73 min,6.7,A mystery writer accused of murdering his publisher sets out to discover the real killer.,102,Basil Wrangell,Sheila Ryan
Body and Soul,"Drama, Film-Noir, Sport            ",1947,104 min,7.6,A talented boxer's young career hits difficult terrain when an unethical promoter takes interest in him.,"1,802",Curtis Bernhardt,Robert Taylor
Boomerang!,"Crime, Drama, Film-Noir            ",1947,88 min,7.2,The true story of a prosecutor's fight to prove the innocence of a man accused of a notorious murder.,"2,989",Byron Haskin,Burt Lancaster
Born to Kill,"Crime, Drama, Film-Noir            ",1947,92 min,7.2,A calculating divorcée risks her chances at wealth and security with a man she doesn't love by getting involved with the hotheaded murderer romancing her foster sister.,901,Sam Wood,Joan Fontaine
The Brasher Doubloon,"Crime, Drama, Film-Noir            ",1947,72 min,6.5,Detective Philip Marlowe encounters a variety of characters while checking on why Leslie Murdock stole a rare doubloon from his mother.,"2,333",Robert Rossen,Dick Powell
Brute Force,"Crime, Drama, Film-Noir            ",1947,98 min,7.6,"At a tough penitentiary, prisoner Joe Collins plans to rebel against Captain Munsey, the power-mad chief guard.","8,615",Henry Hathaway,Victor Mature
Bury Me Dead,"Crime, Drama, Film-Noir            ",1947,68 min,5.8,"Barbara Carlin attends her own funeral and returns home suspecting that her husband, Rod Carlin, had tried to do away with her, and is also (rightfully) curious as to just who was the woman...                See full summary »","5,650",Robert Montgomery,Robert Montgomery
Calcutta,"Action, Crime, Drama            ",1946,83 min,6.4,Neale and Pedro fly cargo between Chungking and Calcutta. When their buddy Bill is murdered they investigate. Neale meets Bill's fiancée Virginia and becomes suspicious of a deeper plot while also falling for her charms.,"2,828",John Brahm,Laraine Day
